2017-02-23 14:20:36,994 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@539d318: startup date [Thu Feb 23 14:20:36 CST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2017-02-23 14:20:38,113 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\cygwin\home\guohao4\code\CarController-Server\mq\apache-activemq-5.14.3\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-02-23 14:20:38,597 | INFO  | PListStore:[D:\cygwin\home\guohao4\code\CarController-Server\mq\apache-activemq-5.14.3\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2017-02-23 14:20:38,734 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:GUOHAO4XC0AFBKU-59526-1487830838613-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-02-23 14:20:38,753 | INFO  | Listening for connections at: tcp://GUOHAO4XC0AFBKU:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-02-23 14:20:38,756 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-02-23 14:20:38,763 | INFO  | Listening for connections at: amqp://GUOHAO4XC0AFBKU:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-02-23 14:20:38,783 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-02-23 14:20:38,789 | INFO  | Listening for connections at: stomp://GUOHAO4XC0AFBKU:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-02-23 14:20:38,792 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-02-23 14:20:38,799 | INFO  | Listening for connections at: mqtt://GUOHAO4XC0AFBKU:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-02-23 14:20:38,802 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-02-23 14:20:38,910 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@11a66407{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2017-02-23 14:20:39,092 | INFO  | Listening for connections at ws://GUOHAO4XC0AFBKU:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2017-02-23 14:20:39,093 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-02-23 14:20:39,094 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:GUOHAO4XC0AFBKU-59526-1487830838613-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-02-23 14:20:39,096 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-02-23 14:20:39,105 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: D:\cygwin\home\guohao4\code\CarController-Server\mq\apache-activemq-5.14.3\bin\win64\..\..\data\kahadb only has 26751 mb of usable space. - resetting to maximum available disk space: 26751 mb | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-02-23 14:20:39,111 | WARN  | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: D:\cygwin\home\guohao4\code\CarController-Server\mq\apache-activemq-5.14.3\bin\win64\..\..\data only has 26751 mb of usable space. - resetting to maximum available disk space: 26751 mb | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-02-23 14:20:39,667 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | WrapperSimpleAppMain
2017-02-23 14:20:39,957 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2017-02-23 14:20:39,959 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2017-02-23 14:20:40,058 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2017-02-23 14:20:40,384 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | WrapperSimpleAppMain
2017-02-23 14:20:41,108 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | WrapperSimpleAppMain
2017-02-23 14:30:35,327 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp1177496806-49
2017-02-23 14:49:23,368 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:GUOHAO4XC0AFBKU-59526-1487830838613-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2017-02-23 14:49:23,370 | INFO  | socketQueue interrupted - stopping | org.apache.activemq.transport.tcp.TcpTransportServer | ActiveMQ Transport Server Thread Handler: tcp://0.0.0.0:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2017-02-23 14:49:23,370 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2017-02-23 14:49:23,371 | INFO  | Could not accept connection during shutdown  : java.lang.InterruptedException | org.apache.activemq.broker.TransportConnector | ActiveMQ Transport Server Thread Handler: tcp://0.0.0.0:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2017-02-23 14:49:23,372 | INFO  | socketQueue interrupted - stopping | org.apache.activemq.transport.tcp.TcpTransportServer | ActiveMQ Transport Server Thread Handler: amqp://0.0.0.0:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2017-02-23 14:49:23,372 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2017-02-23 14:49:23,374 | INFO  | Could not accept connection during shutdown  : java.lang.InterruptedException | org.apache.activemq.broker.TransportConnector | ActiveMQ Transport Server Thread Handler: amqp://0.0.0.0:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2017-02-23 14:49:23,375 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2017-02-23 14:49:23,377 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2017-02-23 14:49:23,388 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2017-02-23 14:49:23,395 | INFO  | Connector vm://localhost stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2017-02-23 14:49:23,398 | INFO  | PListStore:[D:\cygwin\home\guohao4\code\CarController-Server\mq\apache-activemq-5.14.3\bin\win64\..\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2017-02-23 14:49:23,399 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2017-02-23 14:49:23,399 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2017-02-23 14:49:23,401 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2017-02-23 14:49:23,419 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:GUOHAO4XC0AFBKU-59526-1487830838613-0:1) uptime 28 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2017-02-23 14:49:23,420 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:GUOHAO4XC0AFBKU-59526-1487830838613-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2017-02-23 14:49:23,420 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@539d318: startup date [Thu Feb 23 14:20:36 CST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2017-02-23 14:49:23,429 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | ActiveMQ ShutdownHook
2017-02-23 14:51:28,296 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1878e1b0: startup date [Thu Feb 23 14:51:28 CST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2017-02-23 14:51:30,210 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\cygwin\home\guohao4\code\CarController-Server\mq\apache-activemq-5.14.3\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-02-23 14:51:30,309 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2017-02-23 14:51:30,436 | INFO  | Recovering from the journal @1:503 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2017-02-23 14:51:30,451 | INFO  | Recovery replayed 344 operations from the journal in 0.127 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2017-02-23 14:51:30,465 | INFO  | PListStore:[D:\cygwin\home\guohao4\code\CarController-Server\mq\apache-activemq-5.14.3\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2017-02-23 14:51:30,608 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:GUOHAO4XC0AFBKU-49225-1487832690485-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-02-23 14:51:30,716 | INFO  | Listening for connections at: tcp://GUOHAO4XC0AFBKU:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-02-23 14:51:30,717 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-02-23 14:51:30,722 | INFO  | Listening for connections at: amqp://GUOHAO4XC0AFBKU:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-02-23 14:51:30,724 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-02-23 14:51:30,731 | INFO  | Listening for connections at: stomp://GUOHAO4XC0AFBKU:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-02-23 14:51:30,732 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-02-23 14:51:30,737 | INFO  | Listening for connections at: mqtt://GUOHAO4XC0AFBKU:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2017-02-23 14:51:30,740 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-02-23 14:51:30,881 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@261f3dd3{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2017-02-23 14:51:30,954 | INFO  | Listening for connections at ws://GUOHAO4XC0AFBKU:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2017-02-23 14:51:30,956 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2017-02-23 14:51:30,958 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:GUOHAO4XC0AFBKU-49225-1487832690485-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-02-23 14:51:30,959 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-02-23 14:51:30,966 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: D:\cygwin\home\guohao4\code\CarController-Server\mq\apache-activemq-5.14.3\bin\win64\..\..\data\kahadb only has 26748 mb of usable space. - resetting to maximum available disk space: 26748 mb | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-02-23 14:51:30,971 | WARN  | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: D:\cygwin\home\guohao4\code\CarController-Server\mq\apache-activemq-5.14.3\bin\win64\..\..\data only has 26748 mb of usable space. - resetting to maximum available disk space: 26748 mb | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2017-02-23 14:51:31,602 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | WrapperSimpleAppMain
2017-02-23 14:51:31,745 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
